video_id,headline,thumbnail_url,thumbnail_path,label,downloaded
dXbbbSWtUbA,5 Unsolved Mysteries of India! | Hidden Secrets | Mysterious Facts,https://i.ytimg.com/vi/dXbbbSWtUbA/hqdefault.jpg,data\thumbnails\dXbbbSWtUbA.jpg,1,1
TwNPKb9ol8Y,Top 10 Facts - Unsolved Mysteries [Part 1],https://i.ytimg.com/vi/TwNPKb9ol8Y/hqdefault.jpg,data\thumbnails\TwNPKb9ol8Y.jpg,1,1
cqTaTm5BxBY,The Creepiest Internet Mysteries That Were Finally Solved,https://i.ytimg.com/vi/cqTaTm5BxBY/hqdefault.jpg,data\thumbnails\cqTaTm5BxBY.jpg,1,1
YRrSg3t0UsI,Mysteries That Could Never Be Solved 😰,https://i.ytimg.com/vi/YRrSg3t0UsI/hqdefault.jpg,data\thumbnails\YRrSg3t0UsI.jpg,1,1
RU-XBySPuec,Top 50 Creepiest Mysteries That Were FINALLY Solved,https://i.ytimg.com/vi/RU-XBySPuec/hqdefault.jpg,data\thumbnails\RU-XBySPuec.jpg,1,1
WGeTP4p6O38,김은주 포항시의원 &quot;의정활동에 부당 압박..감사 촉구&quot; #shorts (포항MBC뉴스),https://i.ytimg.com/vi/WGeTP4p6O38/hqdefault.jpg,data\thumbnails\WGeTP4p6O38.jpg,1,1
7huu_RSENS0,Anderson police investigating racial slur written in front of city council member&#39;s home,https://i.ytimg.com/vi/7huu_RSENS0/hqdefault.jpg,data\thumbnails\7huu_RSENS0.jpg,0,1
2pDCzIv1G5k,Khit Thit Morning News | 7 September 2026,https://i.ytimg.com/vi/2pDCzIv1G5k/hqdefault.jpg,data\thumbnails\2pDCzIv1G5k.jpg,0,1
liuwV7xVxWk,TIKHIR TRIBAL COUNCIL IMBROGLIO “P TIMONG LED TTC DISSOLVED ON JULY 29”,https://i.ytimg.com/vi/liuwV7xVxWk/hqdefault.jpg,data\thumbnails\liuwV7xVxWk.jpg,0,1
opQPCUNx45c,Feds claim Trayon White is trying to &#39;tamper with&#39; jury pool after controversial posts,https://i.ytimg.com/vi/opQPCUNx45c/hqdefault.jpg,data\thumbnails\opQPCUNx45c.jpg,1,1
dgyAonEBACU,"MPA 12 PM News Update | September 7, 2026",https://i.ytimg.com/vi/dgyAonEBACU/hqdefault.jpg,data\thumbnails\dgyAonEBACU.jpg,0,1
9RwWD6NX1Vw,"Council to hold special meeting over budget leak | CTV Your Morning Calgary for Sept. 8, 2026",https://i.ytimg.com/vi/9RwWD6NX1Vw/hqdefault.jpg,data\thumbnails\9RwWD6NX1Vw.jpg,0,1
FRCedgV0tcM,Democrat LOSES IT on Reporter After He Gets Asked One Simple Question,https://i.ytimg.com/vi/FRCedgV0tcM/hqdefault.jpg,data\thumbnails\FRCedgV0tcM.jpg,1,1
-2xVRA1C3TI,「バス切り替えの準備が間に合わない」運行終了時期を見直しへ　沿線自治体の反対を受け　平成筑豊鉄道,https://i.ytimg.com/vi/-2xVRA1C3TI/hqdefault.jpg,data\thumbnails\-2xVRA1C3TI.jpg,1,1
Z_vPofTbQZc,We Need a NEW NATIONAL ANTHEM | Chad And JT City Council,https://i.ytimg.com/vi/Z_vPofTbQZc/hqdefault.jpg,data\thumbnails\Z_vPofTbQZc.jpg,1,1
